C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0234, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0229, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.023, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0084, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0086, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.01, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0176, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.01, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0164, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0119, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0121, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0125, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0161, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0161, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0152, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0079, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0076, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0089, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.009, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.015, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0149, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0117, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.019, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0193, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0195, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0191, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0194, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0095, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.009, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0101, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.015, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0152, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0161, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0086, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0091, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0089, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0175, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0182, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0182, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0117, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0118, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0122, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0132, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0136, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.015, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.009, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0086, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0091, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0089, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0093, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0136, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0089, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0126, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0149, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0153, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0137, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0157, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0093, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0106, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0293, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0294, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0301, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0309, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0112, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0133, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0124, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0123, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.014, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0129, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0194, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0194, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0198, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0204, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0193, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0199, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0116, MEM 1.09 mb
